title, kind of sale,brand,year,price,usage,explanation
آپاچی سفید مدل 92|موتورسیکلت و لوازم جانبی|تهران  مدائن|دیوار,فروشی,آپاچی 180,1392,0,120000,یکسال بیمه
موتور هوندا پیشرو مدل 89  فروشی پردیس فاز 11|موتورسیکلت و لوازم جانبی|تهران  پردیس|دیوار,فروشی,پیشرو 100,1389,12500000,4000,مدل89 هوندا پیشرو بیمه از اول تخفیف 7سال خوابیده بوده تو حیاط کلی خرجش کردم به دلیل پلا تین پا م میفروشمش به خریدار تخفیف داده میشه بازدید پردیس فاز 11
rs200  مدل ٩٧ ار اس|موتورسیکلت و لوازم جانبی|تهران  خواجه نظام الملک|دیوار,فروشی,باجاج پالس RS 200,1397,69000000,13000,کارکرد ١٣٠٠٠  بیمه  هد لایت  سند اماده  در حد  تخفیف پای معامله  
موتور مدل 97|موتورسیکلت و لوازم جانبی|تهران  مسعودیه|دیوار,فروشی,متین خودرو( سیوان ),1397,19000000,70000,فروش یک دستگاه موتور  سیکلت مدل 1397 مارک سیوان   در حد نو  5 دنده  استارتی  ترمز دیسکی روغن ماه ب ماه ب موقع تعوض شده  موتوری سلامت   بیمه نداره تموم شده  مدارک تکمیل
های کلیک اصلی ثاقب خودرو|موتورسیکلت و لوازم جانبی|تهران  ورامین|دیوار,فروشی,هوندا کلیک 150,1399,33000000,8000,های کلیک اصلی تایوانی شرکت وارد کننده ثاقب خودرو 
موتور رهرو 95|موتورسیکلت و لوازم جانبی|تهران  تهرانپارس شرقی|دیوار,فروشی,کثیر ( رهرو ) CG 125,1395,18500000,11111,موتور سیکلت رهرو مدل 95 کم کارکرد بدون یک ریال خرج
موتور کیلیک 150|موتورسیکلت و لوازم جانبی|تهران  میدان ولیعصر|دیوار,فروشی,هوندا کلیک,1398,74500000,600,موتور کیلیک 150 سری اول وارداتی  سند تک برگ کار کرد  600 کلیومتر  موتور کلا خواب بوده
ان اس 150 مدل 95 تمیز لاستیک نو عقب جلو بیمه کامل|موتورسیکلت و لوازم جانبی|تهران  رباط کریم|دیوار,فروشی,ان اس یو,1395,39500000,22000,بدون هیچ مشکلی تمیز فقط پنچ شنبه ها سوار شدم لنت نو روغن تازه تعویض شده زنون داره بیمه کامل موتور پلمپ بشرط کارکرد 22تا واقعی
هدلایت چهارراهنما قابل تعویض|موتورسیکلت و لوازم جانبی|تهران  سعادت‌آباد|دیوار,فروشی,دینو Z2 200,1399,42000000,7000,Dino z2 200cc مدل 99 کارکرد 7000هزارتا بدون زمین خوردگی
موتور کلیک 150مدل99خشک|موتورسیکلت و لوازم جانبی|تهران  افسریه|دیوار,فروشی,هوندا کلیک 150,1399,74000000,0,خشک کار نکرده صفر
پژو گازی فابریک سالم متور روشن|موتورسیکلت و لوازم جانبی|تهران  مجیدیه|دیوار,فروشی,پژو گازی, 1365,5500000,0,متور سالم صفر کیلومتر توی پارکینگ بوده تخفیف ویژه میدم یه 
اپاچی 150 عروسک|موتورسیکلت و لوازم جانبی|تهران  صادقیه|دیوار,فروشی,آپاچی 150,1395,35500000,30,موتور بدونه خط خش 
موتور وسپا پریماورا 150s طلایی مات مدل 98|موتورسیکلت و لوازم جانبی|تهران  دروس|دیوار,فروشی,سایر,1398,125000000,1600,وسپا پریماورا 150s مدل 98 1600 کار بسیار تمیز فنی در حد صفر فقط یک
هوندا 125. مدل 85|موتورسیکلت و لوازم جانبی|تهران  سلیمانی|دیوار,فروشی,ریجو,1385,8200000,90000,با سلام  فروشی فوری  پلاک جدید  لطفا تماس بگیرید 
موتور bws 125 cc|موتورسیکلت و لوازم جانبی|تهران  زعفرانیه|دیوار,فروشی,یاماها,1386,0,0,موتور در حد انجین پلمت ادوات برقی سالم موتور کابراتور میباشد شتاب پر قدرت واتومات موتور دو زمانه میباشد
ninja 250 cc|موتورسیکلت و لوازم جانبی|تهران  جردن|دیوار,فروشی,کاوازاکی نینجا,1398,225000000,3000,کاوازاکی نینجا ٢٥٠ سی سی دوسیلندر   موتور در حد صفر   ٣ تا کار مشابه صفر  سند شرکت کویر
موتور هندا nsr150 zx|موتورسیکلت و لوازم جانبی|تهران  افسریه|دیوار,فروشی,هوندا NSR 150,1390,26000000,111,موتور هندا ان اس ار 150  دو زمانه تک محور نایاب ترانزیستور فابریک  باک -کیلومتر فابریک ست فلاپ فابریک رنگ شده سیلندر بوش صفر کارو  صدا زنبوری ترقه عین زدایکس  رنگ خوراکه محرم و دور دور داداش گلم تخفیف فقط پای معامله دور زدن نداره   معاوضه ندارم با این پول باید بری ایرانی بخری
کویر رادیسون مدل 92|موتورسیکلت و لوازم جانبی|تهران  تهرانپارس شرقی|دیوار,فروشی,کویر موتور طرح ویو رادیسون,1392,18800000,39000,موتور 2 سال خواب بوده سالم به شرط سند کارت سوخت بیمه دارد 
کمک جلو بنلی 300|موتورسیکلت و لوازم جانبی|تهران  آرژانتین|دیوار,فروشی,بنلی 300,1399,0,0,سالم در حد قیمت مناسب کمک شهرستان ارسال هم دارم
